,movie_id,averagerating,numvotes,primary_title,original_title,start_year,runtime_minutes,genres,ordering,title,region,language,types,attributes,is_original_title,id,release_date,production_budget,domestic_gross_movie_budgets,worldwide_gross_movie_budgets
1668,tt2156825,5.6,607,Stone,Kamen,2012,90.0,"Crime,Drama,Thriller",3,stone,US,,imdbDisplay,,0.0,50,"Oct 8, 2010","$22,000,000","$1,810,078","$4,065,020"
973,tt5738152,6.8,22,Stronger,Stronger,2017,125.0,Drama,3,stronger,US,,,,0.0,90,"Sep 22, 2017","$30,000,000","$4,211,129","$8,786,752"
974,tt3881784,7.0,33464,Stronger,Stronger,2017,119.0,"Biography,Drama",22,stronger,US,,,,0.0,90,"Sep 22, 2017","$30,000,000","$4,211,129","$8,786,752"
972,tt7130472,8.4,8,Stronger,Stronger,2016,47.0,"Action,Sport",1,stronger,US,,,,0.0,90,"Sep 22, 2017","$30,000,000","$4,211,129","$8,786,752"
441,tt5564792,6.6,28,Stuck,Stuck,2018,100.0,Comedy,1,stuck,US,,,,0.0,76,"May 30, 2008","$5,000,000","$67,505","$67,505"
440,tt2075318,5.6,983,#Stuck,#Stuck,2014,82.0,"Comedy,Drama,Romance",5,stuck,US,,,,0.0,76,"May 30, 2008","$5,000,000","$67,505","$67,505"
439,tt2369331,7.4,141,Stuck,Stuck,2013,90.0,Documentary,1,stuck,US,,,,0.0,76,"May 30, 2008","$5,000,000","$67,505","$67,505"
438,tt3776292,8.8,5,Stuck,Stuck,2015,85.0,"Comedy,Drama",1,stuck,US,,,,0.0,76,"May 30, 2008","$5,000,000","$67,505","$67,505"
437,tt3696610,6.2,200,Stuck,Stuck,2017,90.0,"Drama,Musical",1,stuck,US,,imdbDisplay,,0.0,76,"May 30, 2008","$5,000,000","$67,505","$67,505"
436,tt2232596,4.6,9,Stuck,Stuck,2012,,"Comedy,Drama",1,stuck,US,,,,0.0,76,"May 30, 2008","$5,000,000","$67,505","$67,505"
1359,tt3247714,5.6,28614,Survivor,Survivor,2015,96.0,"Action,Crime,Thriller",20,survivor,US,,,,0.0,11,"May 29, 2015","$20,000,000",$0,"$1,703,281"
1358,tt3297792,4.1,1750,Survivor,Survivor,2014,93.0,"Action,Adventure,Fantasy",4,survivor,US,,,,0.0,11,"May 29, 2015","$20,000,000",$0,"$1,703,281"
788,tt1967669,4.6,158,Tag,Tag,2015,91.0,Drama,2,tag,US,,,,0.0,50,"Jun 15, 2018","$28,000,000","$54,730,625","$77,026,186"
787,tt2854926,6.5,85186,Tag,Tag,2018,100.0,Comedy,10,tag,US,,working,,0.0,50,"Jun 15, 2018","$28,000,000","$54,730,625","$77,026,186"
1906,tt1291150,5.8,192220,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,2014,101.0,"Action,Adventure,Comedy",27,teenagemutantninjaturtles,US,,,,0.0,68,"Aug 8, 2014","$125,000,000","$191,204,754","$485,004,754"
1907,tt1291150,5.8,192220,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,2014,101.0,"Action,Adventure,Comedy",27,teenagemutantninjaturtles,US,,,,0.0,33,"Mar 30, 1990","$13,500,000","$135,265,915","$202,000,000"
954,tt6415838,4.7,191,Ten,Ten,2017,82.0,"Horror,Mystery,Thriller",1,ten,US,,alternative,,0.0,51,"Apr 21, 2015","$25,000",$0,$0
953,tt2496400,5.4,623,Ten,Ten,2014,83.0,"Adventure,Horror,Mystery",1,ten,US,,,,0.0,51,"Apr 21, 2015","$25,000",$0,$0
1280,tt2776878,6.5,10006,Thank You for Your Service,Thank You for Your Service,2017,109.0,"Biography,Drama,War",4,thankyouforyourservice,US,,imdbDisplay,,0.0,48,"Oct 27, 2017","$20,000,000","$9,479,390","$9,985,316"
1279,tt2352196,7.7,74,Thank You for Your Service,Thank You for Your Service,2015,88.0,"Documentary,Drama",2,thankyouforyourservice,US,,,,0.0,48,"Oct 27, 2017","$20,000,000","$9,479,390","$9,985,316"
1408,tt0848228,8.1,1183655,The Avengers,The Avengers,2012,143.0,"Action,Adventure,Sci-Fi",16,theavengers,US,,,fake working title,0.0,35,"Aug 14, 1998","$60,000,000","$23,385,416","$48,585,416"
1407,tt0848228,8.1,1183655,The Avengers,The Avengers,2012,143.0,"Action,Adventure,Sci-Fi",16,theavengers,US,,,fake working title,0.0,27,"May 4, 2012","$225,000,000","$623,279,547","$1,517,935,897"
1578,tt4196450,6.4,18442,The Birth of a Nation,The Birth of a Nation,2016,120.0,"Biography,Drama,History",12,thebirthofanation,US,,,,0.0,78,"Feb 8, 1915","$110,000","$10,000,000","$11,000,000"
1577,tt4196450,6.4,18442,The Birth of a Nation,The Birth of a Nation,2016,120.0,"Biography,Drama,History",12,thebirthofanation,US,,,,0.0,17,"Oct 7, 2016","$10,000,000","$15,861,566","$16,891,011"
852,tt1877707,2.8,346,The Black Hole,Mind's Eye,2016,111.0,"Sci-Fi,Thriller",2,theblackhole,US,,imdbDisplay,,0.0,50,"Dec 21, 1979","$20,000,000","$35,841,901","$35,841,901"
851,tt6971106,4.2,5,The Black Hole,The Black Hole,2017,,Comedy,1,theblackhole,US,,,,0.0,50,"Dec 21, 1979","$20,000,000","$35,841,901","$35,841,901"
1860,tt2262227,7.3,59486,The Book of Life,The Book of Life,2014,95.0,"Adventure,Animation,Comedy",18,thebookoflife,US,,,original script title,0.0,35,"Oct 17, 2014","$50,000,000","$50,151,543","$97,651,543"
1861,tt6716346,6.7,7,The Book of Life,The Book of Life,2017,120.0,Thriller,1,thebookoflife,US,,,,0.0,35,"Oct 17, 2014","$50,000,000","$50,151,543","$97,651,543"
